place,population,income,povertycount
"Van Buren County, Michigan",75358,28049,34755
"Washtenaw County, Michigan",367000,41399,189559
"Wayne County, Michigan",1757299,27282,744194
"Wexford County, Michigan",33256,25149,14011
"Aitkin County, Minnesota",15834,29275,6272
"Anoka County, Minnesota",350253,36978,191712
"Becker County, Minnesota",34011,31729,16304
"Beltrami County, Minnesota",46403,25418,21064
"Benton County, Minnesota",40129,29831,21302
"Big Stone County, Minnesota",4996,29459,2354
"Blue Earth County, Minnesota",66795,29677,38033
"Brown County, Minnesota",25163,31237,13695
"Carlton County, Minnesota",35633,29440,16825
"Carver County, Minnesota",101949,47221,56939
"Cass County, Minnesota",29268,30326,12654
"Chippewa County, Minnesota",11953,30772,6012
"Chisago County, Minnesota",55315,35021,29175
"Clay County, Minnesota",63446,30768,34306
"Clearwater County, Minnesota",8821,27178,3871
"Cook County, Minnesota",5376,33194,2634
"Cottonwood County, Minnesota",11299,27459,5283
"Crow Wing County, Minnesota",64217,32368,30841
"Dakota County, Minnesota",421453,41552,233358
"Dodge County, Minnesota",20669,34399,11378
"Douglas County, Minnesota",37513,36535,19398
"Faribault County, Minnesota",13801,29991,7016
"Fillmore County, Minnesota",20949,30392,10758
"Freeborn County, Minnesota",30463,29316,15095
"Goodhue County, Minnesota",46246,34803,24227
"Grant County, Minnesota",5935,32871,2940
"Hennepin County, Minnesota",1245837,45768,696128
"Houston County, Minnesota",18648,33032,10246
"Hubbard County, Minnesota",21019,29896,9495
"Isanti County, Minnesota",39430,34054,20397
"Itasca County, Minnesota",45141,30286,19911
"Jackson County, Minnesota",9954,34325,5251
"Kanabec County, Minnesota",16089,28427,7836
"Kandiyohi County, Minnesota",42841,31039,21982
"Kittson County, Minnesota",4311,30539,2232
"Koochiching County, Minnesota",12515,29834,5889
"Lac qui Parle County, Minnesota",6719,32437,3356
"Lake County, Minnesota",10560,34207,4814
"Lake of the Woods County, Minnesota",3771,25640,1931
"Le Sueur County, Minnesota",28242,33311,15086
"Lincoln County, Minnesota",5677,30253,2786
"Lyon County, Minnesota",25758,29634,13437
"McLeod County, Minnesota",35832,32465,19062
"Mahnomen County, Minnesota",5501,21279,2140
"Marshall County, Minnesota",9372,30746,4827
"Martin County, Minnesota",19852,31066,9910
"Meeker County, Minnesota",23105,32368,11603
"Mille Lacs County, Minnesota",25865,27758,12223
"Morrison County, Minnesota",33064,29680,16637
"Mower County, Minnesota",39807,29720,19254
"Murray County, Minnesota",8296,31874,4202
"Nicollet County, Minnesota",33954,33031,19230
"Nobles County, Minnesota",21734,25939,10744
"Norman County, Minnesota",6520,30422,3164
"Olmsted County, Minnesota",154809,41066,83119
"Otter Tail County, Minnesota",58195,32059,28566
"Pennington County, Minnesota",14183,31159,7591
"Pine County, Minnesota",29223,26407,12812
"Pipestone County, Minnesota",9191,30540,4302
"Polk County, Minnesota",31521,30078,15705
"Pope County, Minnesota",11048,34166,5661
"Ramsey County, Minnesota",544442,35013,283280
"Red Lake County, Minnesota",4015,30037,1992
"Redwood County, Minnesota",15261,28611,7519
"Renville County, Minnesota",14652,31253,7189
"Rice County, Minnesota",66185,31221,34116
"Rock County, Minnesota",9402,31345,4801
"Roseau County, Minnesota",15361,30193,8302
"St. Louis County, Minnesota",199759,31537,98711
"Scott County, Minnesota",145275,42155,80840
"Sherburne County, Minnesota",94463,35439,51457
"Sibley County, Minnesota",14892,32016,7935
"Stearns County, Minnesota",158452,30994,86326
"Steele County, Minnesota",36683,32477,18914
"Stevens County, Minnesota",9789,32542,5383
"Swift County, Minnesota",9359,31765,4766
"Todd County, Minnesota",24494,26678,11089
"Traverse County, Minnesota",3311,32548,1712
"Wabasha County, Minnesota",21537,34442,11274
"Wadena County, Minnesota",13654,24214,5998
"Waseca County, Minnesota",18740,29929,9317
"Washington County, Minnesota",255938,45822,137499
"Watonwan County, Minnesota",10972,28341,5550
"Wilkin County, Minnesota",6291,34543,3256
"Winona County, Minnesota",50725,30013,28528
"Wright County, Minnesota",134438,36260,72962
"Yellow Medicine County, Minnesota",9814,29908,4924
"Adams County, Mississippi",31266,18386,10449
"Alcorn County, Mississippi",37090,23909,15323
"Amite County, Mississippi",12412,21568,4309
"Attala County, Mississippi",18437,21276,6756
"Benton County, Mississippi",8232,20643,3010
"Bolivar County, Mississippi",31848,18843,10739
"Calhoun County, Mississippi",14499,19229,5479
"Carroll County, Mississippi",10070,22385,3458
"Chickasaw County, Mississippi",17193,19926,6798
"Choctaw County, Mississippi",8277,22257,3002
"Claiborne County, Mississippi",9089,14320,2719
"Clarke County, Mississippi",15770,23988,6367
"Clay County, Mississippi",19640,20599,7037
"Coahoma County, Mississippi",23255,18985,8024
"Copiah County, Mississippi",28501,20093,10808
"Covington County, Mississippi",18978,19180,7324
"DeSoto County, Mississippi",178975,30195,88982
"Forrest County, Mississippi",75224,22534,32568
"Franklin County, Mississippi",7733,23067,2749
"George County, Mississippi",23917,22732,8361
"Greene County, Mississippi",13645,16006,3352
"Grenada County, Mississippi",21088,23135,8317
"Hancock County, Mississippi",46961,27462,19631
"Harrison County, Mississippi",204502,25415,84893
"Hinds County, Mississippi",238797,23734,104928
"Holmes County, Mississippi",17737,15291,5061
"Humphreys County, Mississippi",8389,18513,2768
"Issaquena County, Mississippi",1361,16388,315
"Itawamba County, Mississippi",23462,22806,10068
"Jackson County, Mississippi",142376,27141,61808
"Jasper County, Mississippi",16505,22523,6371
"Jefferson County, Mississippi",7225,14659,1957
"Jefferson Davis County, Mississippi",11339,20638,4303
"Jones County, Mississippi",68352,23163,28482
"Kemper County, Mississippi",9943,16995,3311
"Lafayette County, Mississippi",53590,27765,24997
"Lamar County, Mississippi",61969,30062,27710
"Lauderdale County, Mississippi",76279,24698,31092
"Lawrence County, Mississippi",12633,22980,4604
"Leake County, Mississippi",22792,19893,8510
"Lee County, Mississippi",85072,26369,38728
"Leflore County, Mississippi",29222,18419,9306
"Lincoln County, Mississippi",34320,23541,13394
"Lowndes County, Mississippi",59150,26438,24392
"Madison County, Mississippi",104562,38901,52872
"Marion County, Mississippi",24990,19545,8517
"Marshall County, Mississippi",35599,21853,14307
"Monroe County, Mississippi",35673,23844,14104
"Montgomery County, Mississippi",10068,24054,4038
"Neshoba County, Mississippi",29332,19540,11463
"Newton County, Mississippi",21360,20787,8047
"Noxubee County, Mississippi",10700,18525,3969
"Oktibbeha County, Mississippi",49512,22512,20699
"Panola County, Mississippi",34190,19892,12728
"Pearl River County, Mississippi",55219,23920,21710
"Perry County, Mississippi",12006,23166,4600
"Pike County, Mississippi",39532,17621,13966
"Pontotoc County, Mississippi",31618,21191,13307
"Prentiss County, Mississippi",25255,19693,9754
"Quitman County, Mississippi",7187,15026,2296
"Rankin County, Mississippi",152677,30835,74371
"Scott County, Mississippi",28332,22203,11243
"Sharkey County, Mississippi",4404,19958,1591
"Simpson County, Mississippi",26888,23520,10756
"Smith County, Mississippi",16009,23698,6257
"Stone County, Mississippi",18276,23820,7886
"Sunflower County, Mississippi",26168,15646,8212
"Tallahatchie County, Mississippi",14158,16742,4340
"Tate County, Mississippi",28404,23340,12190
"Tippah County, Mississippi",22018,19501,8914
"Tishomingo County, Mississippi",19441,20390,7695
"Tunica County, Mississippi",9988,20579,4267
"Union County, Mississippi",28507,21705,12282
"Walthall County, Mississippi",14477,21123,5288
"Warren County, Mississippi",46519,25661,19363
"Washington County, Mississippi",46057,20174,16375
"Wayne County, Mississippi",20373,23668,7893
"Webster County, Mississippi",9768,22011,3902
"Wilkinson County, Mississippi",8875,15475,2434
"Winston County, Mississippi",18229,25263,7109
"Yalobusha County, Mississippi",12367,20690,5043
"Yazoo County, Mississippi",28565,19972,8876
"Adair County, Missouri",25369,22847,10651
"Andrew County, Missouri",17503,29338,8417
"Atchison County, Missouri",5229,31248,2614
"Audrain County, Missouri",25644,23024,10920
"Barry County, Missouri",35530,25068,14677
"Barton County, Missouri",11797,26509,5135
"Bates County, Missouri",16296,27635,7527
"Benton County, Missouri",19107,24317,6710
"Bollinger County, Missouri",12225,21340,5257
"Boone County, Missouri",177651,30415,93541
"Buchanan County, Missouri",88460,26347,41340
"Butler County, Missouri",42656,21652,17421
"Caldwell County, Missouri",9039,24581,3854
"Callaway County, Missouri",44889,25849,20346
"Camden County, Missouri",45466,28275,18774
"Cape Girardeau County, Missouri",78491,28267,38028
"Carroll County, Missouri",8781,25715,3623
"Carter County, Missouri",6147,22104,2463
"Cass County, Missouri",103597,32868,51635
"Cedar County, Missouri",14043,22623,5164
"Chariton County, Missouri",7483,23903,3091
"Christian County, Missouri",85658,28216,40970
"Clark County, Missouri",6779,26490,3132
"Clay County, Missouri",242516,34560,128142
"Clinton County, Missouri",20500,29081,9658
"Cole County, Missouri",76723,30422,37598
"Cooper County, Missouri",17660,23961,7723
"Crawford County, Missouri",24154,22220,9530
"Dade County, Missouri",7578,23186,3045
"Dallas County, Missouri",16617,23647,6255
"Daviess County, Missouri",8295,24929,3540
"DeKalb County, Missouri",12526,20125,4387
"Dent County, Missouri",15545,22711,6378
"Douglas County, Missouri",13306,21083,4984
"Dunklin County, Missouri",30027,21801,11630
"Franklin County, Missouri",103191,30278,50296
"Gasconade County, Missouri",14711,28617,7019
"Gentry County, Missouri",6616,24269,3027
"Greene County, Missouri",289756,27525,139261
"Grundy County, Missouri",9992,23497,4413
"Harrison County, Missouri",8491,22032,3637
"Henry County, Missouri",21735,26944,9038
"Hickory County, Missouri",9404,20736,3183
"Holt County, Missouri",4432,27520,2017
"Howard County, Missouri",10058,23753,4648
"Howell County, Missouri",40104,21048,16431
"Iron County, Missouri",10164,21499,3826
"Jackson County, Missouri",696216,31480,350241
"Jasper County, Missouri",119920,24484,56376
"Jefferson County, Missouri",223951,29999,111769
"Johnson County, Missouri",53682,25380,23931
"Knox County, Missouri",3947,22326,1563
"Laclede County, Missouri",35531,23051,15475
"Lafayette County, Missouri",32597,29565,15503
"Lawrence County, Missouri",38204,22957,17024
"Lewis County, Missouri",9955,22739,4372
"Lincoln County, Missouri",56477,26848,26776
"Linn County, Missouri",12113,25130,5612
"Livingston County, Missouri",15126,23587,6455
"McDonald County, Missouri",22782,20468,9381
"Macon County, Missouri",15199,22136,6354
"Madison County, Missouri",12179,24418,5005
"Maries County, Missouri",8803,26226,3758
"Marion County, Missouri",28608,25069,13038
"Mercer County, Missouri",3644,23042,1676
"Miller County, Missouri",25201,25827,11415
"Mississippi County, Missouri",13574,18549,4513
"Moniteau County, Missouri",16046,24224,6944
"Monroe County, Missouri",8629,24697,3846
"Montgomery County, Missouri",11487,24682,5105
"Morgan County, Missouri",20271,21316,7397
"New Madrid County, Missouri",17560,21419,6745
"Newton County, Missouri",58180,28353,26733
"Nodaway County, Missouri",22359,22915,11072
"Oregon County, Missouri",10647,18398,3977
"Osage County, Missouri",13615,29061,6968
"Ozark County, Missouri",9207,18739,3075
"Pemiscot County, Missouri",16663,20646,5898
"Perry County, Missouri",19191,26609,9395
"Pettis County, Missouri",42355,23576,18681
"Phelps County, Missouri",44630,25202,19115
"Pike County, Missouri",18455,22297,7332
"Platte County, Missouri",100682,40567,53924
"Polk County, Missouri",31748,22773,14345
"Pulaski County, Missouri",52425,23651,17522
"Putnam County, Missouri",4781,24758,2060
"Ralls County, Missouri",10234,27023,4969
"Randolph County, Missouri",24878,21240,10370
"Ray County, Missouri",22875,29524,10953
"Reynolds County, Missouri",6290,22720,2601
"Ripley County, Missouri",13567,18119,5210
"St. Charles County, Missouri",394290,38943,211627
"St. Clair County, Missouri",9370,22520,3602
"Ste. Genevieve County, Missouri",17848,29742,8870
"St. Francois County, Missouri",66643,22578,27298
"St. Louis County, Missouri",996919,41426,499482
"Saline County, Missouri",22976,22942,10449
"Schuyler County, Missouri",4555,19862,1891
"Scotland County, Missouri",4902,27706,2010
"Scott County, Missouri",38633,24921,16745
"Shannon County, Missouri",8217,17387,2968
"Shelby County, Missouri",6013,24304,2905
"Stoddard County, Missouri",29377,22138,12370
"Stone County, Missouri",31615,29026,12358
"Sullivan County, Missouri",6247,22370,2691
"Taney County, Missouri",55114,23776,25289
"Texas County, Missouri",25604,19973,8906
"Vernon County, Missouri",20595,24312,8861
"Warren County, Missouri",34453,28641,15937
"Washington County, Missouri",24860,20581,9080
"Wayne County, Missouri",13195,19457,4322
"Webster County, Missouri",38655,22961,15538
"Worth County, Missouri",2027,26137,907
"Wright County, Missouri",18203,19850,6629
"St. Louis city, Missouri",308174,30542,155835
"Beaverhead County, Montana",9415,28401,4683
"Big Horn County, Montana",13387,18934,4785
"Blaine County, Montana",6719,19258,2502
"Broadwater County, Montana",5945,31631,2595
"Carbon County, Montana",10597,33067,5235
"Carter County, Montana",1331,28577,641
"Cascade County, Montana",81625,30110,36897
"Chouteau County, Montana",5732,23769,2569
"Custer County, Montana",11729,30504,6170
"Daniels County, Montana",1730,35133,870
"Dawson County, Montana",9017,31658,4707
"Deer Lodge County, Montana",9106,26241,3705
"Fallon County, Montana",2921,37024,1574
"Fergus County, Montana",11221,30529,5476
"Flathead County, Montana",99899,31694,48363
"Gallatin County, Montana",108063,36924,62357
"Garfield County, Montana",1036,28541,550
"Glacier County, Montana",13732,18043,5025
"Golden Valley County, Montana",728,30790,365
"Granite County, Montana",3311,30752,1208
"Hill County, Montana",16436,23589,7119
"Jefferson County, Montana",11917,32773,5424
"Judith Basin County, Montana",1954,28811,914
"Lake County, Montana",30013,25388,12444
"Lewis and Clark County, Montana",67805,34504,34814
"Liberty County, Montana",2351,43320,1154
"Lincoln County, Montana",19537,25081,6835
"McCone County, Montana",1790,27912,778
"Madison County, Montana",8302,35719,4098
"Meagher County, Montana",1888,24723,947
"Mineral County, Montana",4251,23621,1565
"Missoula County, Montana",117309,31897,65170
"Musselshell County, Montana",4766,24979,1841
"Park County, Montana",16352,35123,8576
"Petroleum County, Montana",453,31177,223
"Phillips County, Montana",4077,25605,1790
"Pondera County, Montana",5994,25633,2563
"Powder River County, Montana",1607,32094,877
"Powell County, Montana",6854,26456,2577
"Prairie County, Montana",1252,27377,569
"Ravalli County, Montana",42512,29761,18224
"Richland County, Montana",11199,33109,6033
"Roosevelt County, Montana",11175,18657,3865
"Rosebud County, Montana",9152,24922,3922
"Sanders County, Montana",11681,25309,4300
"Sheridan County, Montana",3483,36091,1783
"Silver Bow County, Montana",34770,27706,16043
"Stillwater County, Montana",9466,32301,4493
"Sweet Grass County, Montana",3670,30050,1687
"Teton County, Montana",6086,28022,2640
"Toole County, Montana",4892,27528,2189
"Treasure County, Montana",668,29763,339
"Valley County, Montana",7471,27946,3608
"Wheatland County, Montana",2142,21619,945
"Wibaux County, Montana",1122,25591,557
"Yellowstone County, Montana",159008,34451,81146
"Adams County, Nebraska",31587,28729,15862
"Antelope County, Nebraska",6341,26523,3217
"Arthur County, Nebraska",427,25906,199
"Banner County, Nebraska",722,27552,397
"Blaine County, Nebraska",477,25097,255
"Boone County, Nebraska",5279,33027,2904
"Box Butte County, Nebraska",10970,28156,5094
"Boyd County, Nebraska",1937,29871,985
"Brown County, Nebraska",3015,30674,1554
"Buffalo County, Nebraska",49209,31043,27371
"Burt County, Nebraska",6510,31635,2982
"Butler County, Nebraska",8029,30095,4222
"Cass County, Nebraska",25888,33851,13180
"Cedar County, Nebraska",8498,30163,4584
"Chase County, Nebraska",3783,30080,1934
"Cherry County, Nebraska",5779,29415,3278
"Cheyenne County, Nebraska",9604,31294,5067
"Clay County, Nebraska",6203,27539,3016
"Colfax County, Nebraska",10714,23603,5435
"Cuming County, Nebraska",8952,29765,4610
"Custer County, Nebraska",10826,33561,5503
"Dakota County, Nebraska",20173,25269,10294
"Dawes County, Nebraska",8810,25383,4661
"Dawson County, Nebraska",23733,25956,12024
"Deuel County, Nebraska",1831,26351,900
"Dixon County, Nebraska",5719,27634,2897
"Dodge County, Nebraska",36665,28019,18444
"Douglas County, Nebraska",560617,35307,292805
"Dundy County, Nebraska",1913,25479,923
"Fillmore County, Nebraska",5547,34483,2876
"Franklin County, Nebraska",2987,28365,1505
"Frontier County, Nebraska",2640,28899,1294
"Furnas County, Nebraska",4747,27021,2336
"Gage County, Nebraska",21594,29565,11059
"Garden County, Nebraska",1864,35050,876
"Garfield County, Nebraska",2001,29146,1030
"Gosper County, Nebraska",2013,37565,1125
"Grant County, Nebraska",722,23264,348
"Greeley County, Nebraska",2382,26553,1172
"Hall County, Nebraska",61265,28359,31540
"Hamilton County, Nebraska",9215,32131,4909
"Harlan County, Nebraska",3415,28919,1670
"Hayes County, Nebraska",893,31286,473
"Hitchcock County, Nebraska",2815,30037,1386
"Holt County, Nebraska",10177,31785,5685
"Hooker County, Nebraska",693,27714,287
"Howard County, Nebraska",6417,27489,3323
"Jefferson County, Nebraska",7144,27461,3438
"Johnson County, Nebraska",5161,24072,2126
"Kearney County, Nebraska",6529,31094,3388
"Keith County, Nebraska",8068,29823,4076
"Keya Paha County, Nebraska",760,28853,385
"Kimball County, Nebraska",3633,27478,1848
"Knox County, Nebraska",8426,28409,4239
"Lancaster County, Nebraska",313158,32378,171824
"Lincoln County, Nebraska",35263,31567,17538
"Logan County, Nebraska",927,24355,478
"Loup County, Nebraska",605,27726,317
"McPherson County, Nebraska",395,30063,204
"Madison County, Nebraska",35080,28179,18271
"Merrick County, Nebraska",7798,28795,4023
"Morrill County, Nebraska",4781,26951,2287
"Nance County, Nebraska",3544,29454,1778
"Nemaha County, Nebraska",6973,29574,3349
"Nuckolls County, Nebraska",4244,30078,2206
"Otoe County, Nebraska",15949,31450,8290
"Pawnee County, Nebraska",2649,27162,1241
"Perkins County, Nebraska",2901,35765,1516
"Phelps County, Nebraska",9100,32864,4740
"Pierce County, Nebraska",7144,32040,3799
"Platte County, Nebraska",33174,30331,17399
"Polk County, Nebraska",5225,30234,2639
"Red Willow County, Nebraska",10768,27392,5715
"Richardson County, Nebraska",7961,28309,3823
"Rock County, Nebraska",1414,36140,754
"Saline County, Nebraska",14270,24627,7140
"Sarpy County, Nebraska",181232,36058,94810
"Saunders County, Nebraska",21165,33851,10968
"Scotts Bluff County, Nebraska",36074,27978,17175
"Seward County, Nebraska",17171,32040,9129
"Sheridan County, Nebraska",5231,29477,2714
"Sherman County, Nebraska",3033,28448,1516
"Sioux County, Nebraska",1219,28646,629
"Stanton County, Nebraska",5957,29117,3229
"Thayer County, Nebraska",5057,29632,2568
"Thomas County, Nebraska",645,36572,365
"Thurston County, Nebraska",7181,20141,2785
"Valley County, Nebraska",4206,29378,2183
"Washington County, Nebraska",20361,35145,10468
"Wayne County, Nebraska",9332,27671,5334
"Webster County, Nebraska",3537,29969,1748
"Wheeler County, Nebraska",783,29037,400
"York County, Nebraska",13745,32975,6869
"Churchill County, Nevada",24259,28462,9620
"Clark County, Nevada",2182004,30704,1031774
"Douglas County, Nevada",48132,38814,21421
"Elko County, Nevada",52297,33875,26168
"Esmeralda County, Nevada",969,25849,398
"Eureka County, Nevada",1859,34249,930
"Humboldt County, Nevada",16828,33362,8491
"Lander County, Nevada",5643,34000,2586
"Lincoln County, Nevada",5180,26432,1803
"Lyon County, Nevada",54380,27855,22593
"Mineral County, Nevada",4460,22921,1534
"Nye County, Nevada",44380,25558,14619
"Pershing County, Nevada",6615,19891,2072
"Storey County, Nevada",3988,37941,1638
"Washoe County, Nevada",456936,36071,231583
"White Pine County, Nevada",9679,25675,3633
"Carson City, Nevada",54773,31549,25705
"Belknap County, New Hampshire",60887,37430,31344
"Carroll County, New Hampshire",48138,37490,24125
"Cheshire County, New Hampshire",76042,33946,39891
"Coos County, New Hampshire",31741,27393,14358
"Grafton County, New Hampshire",89777,37750,46609
"Hillsborough County, New Hampshire",413035,40955,227110
"Merrimack County, New Hampshire",149917,37367,79851
"Rockingham County, New Hampshire",306359,47222,175088
"Strafford County, New Hampshire",129124,35601,70486
"Sullivan County, New Hampshire",43104,33042,20839
"Atlantic County, New Jersey",266105,33284,127399
"Bergen County, New Jersey",930390,51214,480028
"Burlington County, New Jersey",445702,43187,223483
"Camden County, New Jersey",506738,35958,249732
"Cape May County, New Jersey",93086,40389,41841
"Cumberland County, New Jersey",151906,25694,61596
"Essex County, New Jersey",795404,38722,378224
"Gloucester County, New Jersey",291165,39337,149352
"Hudson County, New Jersey",670046,40740,357147
"Hunterdon County, New Jersey",124823,57098,66913
"Mercer County, New Jersey",367922,43086,180235
"Middlesex County, New Jersey",825920,39599,406921
"Monmouth County, New Jersey",621659,51700,318706
"Morris County, New Jersey",493379,58109,261352
"Ocean County, New Jersey",596415,36100,260353
"Passaic County, New Jersey",503637,32064,243337
"Salem County, New Jersey",62990,34047,29326
"Somerset County, New Jersey",329838,55828,173721
"Sussex County, New Jersey",141483,44728,75773
"Union County, New Jersey",554033,41603,281698
"Warren County, New Jersey",105862,39802,55354
"Bernalillo County, New Mexico",677858,30734,318839
"Catron County, New Mexico",3526,21989,888
"Chaves County, New Mexico",65144,22041,26889
"Cibola County, New Mexico",26891,20018,9202
"Colfax County, New Mexico",12168,24035,4900
"Curry County, New Mexico",49732,23021,20253
"De Baca County, New Mexico",2040,17376,627
"Doña Ana County, New Mexico",216069,22154,88305
"Eddy County, New Mexico",57732,30246,26438
"Grant County, New Mexico",27669,25590,10098
"Guadalupe County, New Mexico",4353,17420,1262
"Harding County, New Mexico",441,34721,172
"Hidalgo County, New Mexico",4297,22009,1527
"Lea County, New Mexico",70277,25585,28876
"Lincoln County, New Mexico",19461,27454,7565
"Los Alamos County, New Mexico",18625,60746,9792
"Luna County, New Mexico",24083,17168,7587
"McKinley County, New Mexico",72438,15931,23730
"Mora County, New Mexico",4536,19864,1445
"Otero County, New Mexico",66137,23170,23336
"Quay County, New Mexico",8326,19784,2988
"Rio Arriba County, New Mexico",39159,22911,14103
"Roosevelt County, New Mexico",18888,20123,7901
"Sandoval County, New Mexico",142704,29255,62530
"San Juan County, New Mexico",126515,23235,49924
"San Miguel County, New Mexico",27738,20762,9626
"Santa Fe County, New Mexico",149293,38520,70383
"Sierra County, New Mexico",11031,25344,3422
"Socorro County, New Mexico",16858,18948,5488
"Taos County, New Mexico",32786,25646,13868
"Torrance County, New Mexico",15519,20876,5504
"Union County, New Mexico",4133,22116,1496
"Valencia County, New Mexico",76027,23675,29682
"Albany County, New York",306968,37635,160761
"Allegany County, New York",46688,24857,19996
"Bronx County, New York",1435068,21778,601341
"Broome County, New York",193188,28699,86505
"Cattaraugus County, New York",77121,25822,33684
"Cayuga County, New York",77425,30509,36570
"Chautauqua County, New York",128496,26165,55951
"Chemung County, New York",84895,28778,37333
"Chenango County, New York",47909,27708,21649
"Clinton County, New York",80583,27761,35759
"Columbia County, New York",60371,38268,29694
"Cortland County, New York",47865,28229,23241
"Delaware County, New York",44995,27701,19952
"Dutchess County, New York",293754,40093,145110
"Erie County, New York",919355,33598,451762
"Essex County, New York",37459,31667,17336
"Franklin County, New York",50477,25406,19380
"Fulton County, New York",53646,27443,24632
"Genesee County, New York",57808,30511,29570
"Greene County, New York",47424,28433,20451
"Hamilton County, New York",4515,24851,1787
"Herkimer County, New York",62057,27850,28769
"Jefferson County, New York",112842,26194,43241
"Kings County, New York",2589974,34173,1227030
"Lewis County, New York",26572,26708,11917
"Livingston County, New York",63591,28701,29283
"Madison County, New York",71205,30469,34103
"Monroe County, New York",743341,33840,368088
"Montgomery County, New York",49302,26521,21636
"Nassau County, New York",1356509,51422,687898
"New York County, New York",1631993,76592,905475
"Niagara County, New York",210820,30971,100670
"Oneida County, New York",229959,29687,102302
"Onondaga County, New York",462872,34002,222177
"Ontario County, New York",109511,36835,54822
"Orange County, New York",380085,34959,177356
"Orleans County, New York",40904,26298,17833
"Oswego County, New York",118339,28587,54134
"Otsego County, New York",59972,28849,28014
"Putnam County, New York",98787,47448,51264
"Queens County, New York",2287388,31930,1134877
"Rensselaer County, New York",159185,35903,81515
"Richmond County, New York",474893,36907,214492
"Rockland County, New York",324422,39286,147612
"St. Lawrence County, New York",108913,25378,43722
"Saratoga County, New York",228502,43065,119896
"Schenectady County, New York",154859,32417,72938
"Schoharie County, New York",31222,30397,14429
"Schuyler County, New York",17920,27678,8226
"Seneca County, New York",34390,28245,15280
"Steuben County, New York",96422,29886,42836
"Suffolk County, New York",1483832,44465,752016
"Sullivan County, New York",75116,30446,33008
"Tioga County, New York",48686,31822,22805
"Tompkins County, New York",102642,33075,50882
"Ulster County, New York",178665,34834,87223
"Warren County, New York",64276,35271,31988
"Washington County, New York",61616,28530,29139
"Wayne County, New York",90519,31043,44700
"Westchester County, New York",968890,57049,482359
"Wyoming County, New York",40305,27947,18497
"Yates County, New York",25011,28270,11404
"Alamance County, North Carolina",163324,27312,77665
"Alexander County, North Carolina",37213,26688,16913
"Alleghany County, North Carolina",11008,23267,4644
"Anson County, North Carolina",24902,21635,10383
"Ashe County, North Carolina",26863,24814,12512
"Avery County, North Carolina",17506,21167,6545
"Beaufort County, North Carolina",47168,27504,19383
"Bertie County, North Carolina",19380,22947,7338
"Bladen County, North Carolina",33407,23440,13159
"Brunswick County, North Carolina",131815,33312,52589
"Buncombe County, North Carolina",256886,32426,127147
"Burke County, North Carolina",89968,24481,39033
"Cabarrus County, North Carolina",206615,32255,103251
"Caldwell County, North Carolina",81884,23869,36848
"Camden County, North Carolina",10551,28221,4466
"Carteret County, North Carolina",69070,33722,30680
"Caswell County, North Carolina",22684,23901,9519
"Catawba County, North Carolina",157613,28224,73813
"Chatham County, North Carolina",71338,40967,32344
"Cherokee County, North Carolina",27969,23902,10844
"Chowan County, North Carolina",14097,26256,5586
"Clay County, North Carolina",10946,28467,4217
"Cleveland County, North Carolina",97282,22589,40163
"Columbus County, North Carolina",56068,22608,19767
"Craven County, North Carolina",102491,29521,40394
"Cumberland County, North Carolina",332861,24936,127212
"Currituck County, North Carolina",26363,31849,12681
"Dare County, North Carolina",36222,34578,18416
"Davidson County, North Carolina",165381,25988,75087
"Davie County, North Carolina",42257,31173,19509
"Duplin County, North Carolina",58967,20254,24773
"Durham County, North Carolina",311848,35398,162945
"Edgecombe County, North Carolina",52648,20626,21563
"Forsyth County, North Carolina",375195,30769,172626
"Franklin County, North Carolina",66362,27294,30998
"Gaston County, North Carolina",219271,27352,102010
"Gates County, North Carolina",11548,25846,5258
"Graham County, North Carolina",8509,20323,3388
"Granville County, North Carolina",59328,27131,26927
"Greene County, North Carolina",21033,19168,8346
"Guilford County, North Carolina",527868,30767,253250
"Halifax County, North Carolina",51190,21848,19287
"Harnett County, North Carolina",132283,23767,52441
"Haywood County, North Carolina",61053,30490,27218
"Henderson County, North Carolina",114913,31564,53229
"Hertford County, North Carolina",24012,20119,9541
"Hoke County, North Carolina",53957,20991,19173
"Hyde County, North Carolina",5213,18245,1956
"Iredell County, North Carolina",175538,33194,86063
"Jackson County, North Carolina",42938,25347,18967
"Johnston County, North Carolina",196870,27924,94439
"Jones County, North Carolina",9594,21928,3701
"Lee County, North Carolina",60481,24842,26643
"Lenoir County, North Carolina",56756,23865,22856
"Lincoln County, North Carolina",82919,31771,39889
"McDowell County, North Carolina",45227,24281,18707
"Macon County, North Carolina",34813,28936,14178
"Madison County, North Carolina",21499,25956,9162
"Martin County, North Carolina",22849,23575,9424
"Mecklenburg County, North Carolina",1074475,38819,571063
"Mitchell County, North Carolina",15004,25009,6397
"Montgomery County, North Carolina",27252,24636,10797
"Moore County, North Carolina",97294,34606,40851
"Nash County, North Carolina",94030,27406,43322
"New Hanover County, North Carolina",227938,34288,111708
"Northampton County, North Carolina",19946,22002,7357
"Onslow County, North Carolina",195069,24413,64064
"Orange County, North Carolina",144836,42231,74179
"Pamlico County, North Carolina",12701,29092,4825
"Pasquotank County, North Carolina",39514,24664,16462
"Pender County, North Carolina",60399,29266,26243
"Perquimans County, North Carolina",13430,27569,5338
"Person County, North Carolina",39345,27329,18668
